xintercept	key	showSelected1
18.5	1 18.5	1
20.5	1 20.5	1
24.5	1 24.5	1
26.5	1 26.5	1
40.5	1 40.5	1
41.5	1 41.5	1
43.5	1 43.5	1
18.5	1.025 18.5	1.025
20.5	1.025 20.5	1.025
24.5	1.025 24.5	1.025
26.5	1.025 26.5	1.025
40.5	1.025 40.5	1.025
41.5	1.025 41.5	1.025
43.5	1.025 43.5	1.025
18.5	1.05 18.5	1.05
20.5	1.05 20.5	1.05
24.5	1.05 24.5	1.05
26.5	1.05 26.5	1.05
40.5	1.05 40.5	1.05
41.5	1.05 41.5	1.05
43.5	1.05 43.5	1.05
18.5	1.075 18.5	1.075
20.5	1.075 20.5	1.075
24.5	1.075 24.5	1.075
26.5	1.075 26.5	1.075
40.5	1.075 40.5	1.075
41.5	1.075 41.5	1.075
43.5	1.075 43.5	1.075
18.5	1.1 18.5	1.1
20.5	1.1 20.5	1.1
24.5	1.1 24.5	1.1
26.5	1.1 26.5	1.1
40.5	1.1 40.5	1.1
41.5	1.1 41.5	1.1
43.5	1.1 43.5	1.1
18.5	1.125 18.5	1.125
20.5	1.125 20.5	1.125
24.5	1.125 24.5	1.125
26.5	1.125 26.5	1.125
40.5	1.125 40.5	1.125
41.5	1.125 41.5	1.125
43.5	1.125 43.5	1.125
18.5	1.15 18.5	1.15
20.5	1.15 20.5	1.15
24.5	1.15 24.5	1.15
26.5	1.15 26.5	1.15
40.5	1.15 40.5	1.15
41.5	1.15 41.5	1.15
43.5	1.15 43.5	1.15
18.5	1.175 18.5	1.175
20.5	1.175 20.5	1.175
24.5	1.175 24.5	1.175
40.5	1.175 40.5	1.175
41.5	1.175 41.5	1.175
43.5	1.175 43.5	1.175
18.5	1.2 18.5	1.2
20.5	1.2 20.5	1.2
24.5	1.2 24.5	1.2
40.5	1.2 40.5	1.2
41.5	1.2 41.5	1.2
43.5	1.2 43.5	1.2
18.5	1.225 18.5	1.225
20.5	1.225 20.5	1.225
24.5	1.225 24.5	1.225
40.5	1.225 40.5	1.225
41.5	1.225 41.5	1.225
43.5	1.225 43.5	1.225
18.5	1.25 18.5	1.25
20.5	1.25 20.5	1.25
24.5	1.25 24.5	1.25
40.5	1.25 40.5	1.25
41.5	1.25 41.5	1.25
43.5	1.25 43.5	1.25
18.5	1.275 18.5	1.275
20.5	1.275 20.5	1.275
40.5	1.275 40.5	1.275
41.5	1.275 41.5	1.275
43.5	1.275 43.5	1.275
18.5	1.3 18.5	1.3
20.5	1.3 20.5	1.3
40.5	1.3 40.5	1.3
41.5	1.3 41.5	1.3
43.5	1.3 43.5	1.3
18.5	1.325 18.5	1.325
20.5	1.325 20.5	1.325
40.5	1.325 40.5	1.325
41.5	1.325 41.5	1.325
43.5	1.325 43.5	1.325
18.5	1.35 18.5	1.35
20.5	1.35 20.5	1.35
40.5	1.35 40.5	1.35
41.5	1.35 41.5	1.35
43.5	1.35 43.5	1.35
18.5	1.375 18.5	1.375
20.5	1.375 20.5	1.375
40.5	1.375 40.5	1.375
41.5	1.375 41.5	1.375
43.5	1.375 43.5	1.375
18.5	1.4 18.5	1.4
20.5	1.4 20.5	1.4
40.5	1.4 40.5	1.4
41.5	1.4 41.5	1.4
43.5	1.4 43.5	1.4
18.5	1.425 18.5	1.425
20.5	1.425 20.5	1.425
40.5	1.425 40.5	1.425
41.5	1.425 41.5	1.425
43.5	1.425 43.5	1.425
18.5	1.45 18.5	1.45
20.5	1.45 20.5	1.45
40.5	1.45 40.5	1.45
41.5	1.45 41.5	1.45
43.5	1.45 43.5	1.45
18.5	1.475 18.5	1.475
20.5	1.475 20.5	1.475
40.5	1.475 40.5	1.475
41.5	1.475 41.5	1.475
43.5	1.475 43.5	1.475
18.5	1.5 18.5	1.5
20.5	1.5 20.5	1.5
40.5	1.5 40.5	1.5
41.5	1.5 41.5	1.5
43.5	1.5 43.5	1.5
18.5	1.525 18.5	1.525
20.5	1.525 20.5	1.525
40.5	1.525 40.5	1.525
41.5	1.525 41.5	1.525
43.5	1.525 43.5	1.525
20.5	1.55 20.5	1.55
40.5	1.55 40.5	1.55
41.5	1.55 41.5	1.55
43.5	1.55 43.5	1.55
40.5	1.575 40.5	1.575
41.5	1.575 41.5	1.575
40.5	1.6 40.5	1.6
40.5	1.625 40.5	1.625
40.5	1.65 40.5	1.65
40.5	1.675 40.5	1.675
40.5	1.7 40.5	1.7
40.5	1.725 40.5	1.725
40.5	1.75 40.5	1.75
40.5	1.775 40.5	1.775
40.5	1.8 40.5	1.8
