xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
0.9875	1.0125	1	log10.penalty	1	log10.penalty	1	1	1
1.0125	1.0375	1.025 1	log10.penalty	1.025	log10.penalty	1	1	42
1.0375	1.0625	1.05 1	log10.penalty	1.05	log10.penalty	1	1	82
1.0625	1.0875	1.075 1	log10.penalty	1.075	log10.penalty	1	1	122
1.0875	1.1125	1.1 1	log10.penalty	1.1	log10.penalty	1	1	162
1.1125	1.1375	1.125 1	log10.penalty	1.125	log10.penalty	1	1	202
1.1375	1.1625	1.15 1	log10.penalty	1.15	log10.penalty	1	1	242
1.1625	1.1875	1.175 1	log10.penalty	1.175	log10.penalty	1	1	282
1.1875	1.2125	1.2 1	log10.penalty	1.2	log10.penalty	1	1	322
1.2125	1.2375	1.225 1	log10.penalty	1.225	log10.penalty	1	1	362
1.2375	1.2625	1.25 1	log10.penalty	1.25	log10.penalty	1	1	402
1.2625	1.2875	1.275 1	log10.penalty	1.275	log10.penalty	1	1	442
1.2875	1.3125	1.3 1	log10.penalty	1.3	log10.penalty	1	1	482
1.3125	1.3375	1.325 1	log10.penalty	1.325	log10.penalty	1	1	522
1.3375	1.3625	1.35 1	log10.penalty	1.35	log10.penalty	1	1	562
1.3625	1.3875	1.375 1	log10.penalty	1.375	log10.penalty	1	1	602
1.3875	1.4125	1.4 1	log10.penalty	1.4	log10.penalty	1	1	642
1.4125	1.4375	1.425 1	log10.penalty	1.425	log10.penalty	1	1	682
1.4375	1.4625	1.45 1	log10.penalty	1.45	log10.penalty	1	1	722
1.4625	1.4875	1.475 1	log10.penalty	1.475	log10.penalty	1	1	762
1.4875	1.5125	1.5 1	log10.penalty	1.5	log10.penalty	1	1	802
1.5125	1.5375	1.525 1	log10.penalty	1.525	log10.penalty	1	1	842
1.5375	1.5625	1.55 1	log10.penalty	1.55	log10.penalty	1	1	882
1.5625	1.5875	1.575 1	log10.penalty	1.575	log10.penalty	1	1	922
1.5875	1.6125	1.6 1	log10.penalty	1.6	log10.penalty	1	1	962
1.6125	1.6375	1.625 1	log10.penalty	1.625	log10.penalty	1	1	1002
1.6375	1.6625	1.65 1	log10.penalty	1.65	log10.penalty	1	1	1042
1.6625	1.6875	1.675 1	log10.penalty	1.675	log10.penalty	1	1	1082
1.6875	1.7125	1.7 1	log10.penalty	1.7	log10.penalty	1	1	1122
1.7125	1.7375	1.725 1	log10.penalty	1.725	log10.penalty	1	1	1162
1.7375	1.7625	1.75 1	log10.penalty	1.75	log10.penalty	1	1	1202
1.7625	1.7875	1.775 1	log10.penalty	1.775	log10.penalty	1	1	1242
1.7875	1.8125	1.8 1	log10.penalty	1.8	log10.penalty	1	1	1282
1.8125	1.8375	1.825 1	log10.penalty	1.825	log10.penalty	1	1	1322
1.8375	1.8625	1.85 1	log10.penalty	1.85	log10.penalty	1	1	1362
1.8625	1.8875	1.875 1	log10.penalty	1.875	log10.penalty	1	1	1402
1.8875	1.9125	1.9 1	log10.penalty	1.9	log10.penalty	1	1	1442
1.9125	1.9375	1.925 1	log10.penalty	1.925	log10.penalty	1	1	1482
1.9375	1.9625	1.95 1	log10.penalty	1.95	log10.penalty	1	1	1522
1.9625	1.9875	1.975 1	log10.penalty	1.975	log10.penalty	1	1	1562
1.9875	2.0125	2 1	log10.penalty	2	log10.penalty	1	1	1602
0.9875	1.0125	1 1.025	log10.penalty	1	log10.penalty	1.025	1	2
1.0125	1.0375	1	log10.penalty	1.025	log10.penalty	1.025	1	1
1.0375	1.0625	1.05 1.025	log10.penalty	1.05	log10.penalty	1.025	1	83
1.0625	1.0875	1.075 1.025	log10.penalty	1.075	log10.penalty	1.025	1	123
1.0875	1.1125	1.1 1.025	log10.penalty	1.1	log10.penalty	1.025	1	163
1.1125	1.1375	1.125 1.025	log10.penalty	1.125	log10.penalty	1.025	1	203
1.1375	1.1625	1.15 1.025	log10.penalty	1.15	log10.penalty	1.025	1	243
1.1625	1.1875	1.175 1.025	log10.penalty	1.175	log10.penalty	1.025	1	283
1.1875	1.2125	1.2 1.025	log10.penalty	1.2	log10.penalty	1.025	1	323
1.2125	1.2375	1.225 1.025	log10.penalty	1.225	log10.penalty	1.025	1	363
1.2375	1.2625	1.25 1.025	log10.penalty	1.25	log10.penalty	1.025	1	403
1.2625	1.2875	1.275 1.025	log10.penalty	1.275	log10.penalty	1.025	1	443
1.2875	1.3125	1.3 1.025	log10.penalty	1.3	log10.penalty	1.025	1	483
1.3125	1.3375	1.325 1.025	log10.penalty	1.325	log10.penalty	1.025	1	523
1.3375	1.3625	1.35 1.025	log10.penalty	1.35	log10.penalty	1.025	1	563
1.3625	1.3875	1.375 1.025	log10.penalty	1.375	log10.penalty	1.025	1	603
1.3875	1.4125	1.4 1.025	log10.penalty	1.4	log10.penalty	1.025	1	643
1.4125	1.4375	1.425 1.025	log10.penalty	1.425	log10.penalty	1.025	1	683
1.4375	1.4625	1.45 1.025	log10.penalty	1.45	log10.penalty	1.025	1	723
1.4625	1.4875	1.475 1.025	log10.penalty	1.475	log10.penalty	1.025	1	763
1.4875	1.5125	1.5 1.025	log10.penalty	1.5	log10.penalty	1.025	1	803
1.5125	1.5375	1.525 1.025	log10.penalty	1.525	log10.penalty	1.025	1	843
1.5375	1.5625	1.55 1.025	log10.penalty	1.55	log10.penalty	1.025	1	883
1.5625	1.5875	1.575 1.025	log10.penalty	1.575	log10.penalty	1.025	1	923
1.5875	1.6125	1.6 1.025	log10.penalty	1.6	log10.penalty	1.025	1	963
1.6125	1.6375	1.625 1.025	log10.penalty	1.625	log10.penalty	1.025	1	1003
1.6375	1.6625	1.65 1.025	log10.penalty	1.65	log10.penalty	1.025	1	1043
1.6625	1.6875	1.675 1.025	log10.penalty	1.675	log10.penalty	1.025	1	1083
1.6875	1.7125	1.7 1.025	log10.penalty	1.7	log10.penalty	1.025	1	1123
1.7125	1.7375	1.725 1.025	log10.penalty	1.725	log10.penalty	1.025	1	1163
1.7375	1.7625	1.75 1.025	log10.penalty	1.75	log10.penalty	1.025	1	1203
1.7625	1.7875	1.775 1.025	log10.penalty	1.775	log10.penalty	1.025	1	1243
1.7875	1.8125	1.8 1.025	log10.penalty	1.8	log10.penalty	1.025	1	1283
1.8125	1.8375	1.825 1.025	log10.penalty	1.825	log10.penalty	1.025	1	1323
1.8375	1.8625	1.85 1.025	log10.penalty	1.85	log10.penalty	1.025	1	1363
1.8625	1.8875	1.875 1.025	log10.penalty	1.875	log10.penalty	1.025	1	1403
1.8875	1.9125	1.9 1.025	log10.penalty	1.9	log10.penalty	1.025	1	1443
1.9125	1.9375	1.925 1.025	log10.penalty	1.925	log10.penalty	1.025	1	1483
1.9375	1.9625	1.95 1.025	log10.penalty	1.95	log10.penalty	1.025	1	1523
1.9625	1.9875	1.975 1.025	log10.penalty	1.975	log10.penalty	1.025	1	1563
1.9875	2.0125	2 1.025	log10.penalty	2	log10.penalty	1.025	1	1603
0.9875	1.0125	1 1.05	log10.penalty	1	log10.penalty	1.05	1	3
1.0125	1.0375	1.025 1.05	log10.penalty	1.025	log10.penalty	1.05	1	43
1.0375	1.0625	1	log10.penalty	1.05	log10.penalty	1.05	1	1
1.0625	1.0875	1.075 1.05	log10.penalty	1.075	log10.penalty	1.05	1	124
1.0875	1.1125	1.1 1.05	log10.penalty	1.1	log10.penalty	1.05	1	164
1.1125	1.1375	1.125 1.05	log10.penalty	1.125	log10.penalty	1.05	1	204
1.1375	1.1625	1.15 1.05	log10.penalty	1.15	log10.penalty	1.05	1	244
1.1625	1.1875	1.175 1.05	log10.penalty	1.175	log10.penalty	1.05	1	284
1.1875	1.2125	1.2 1.05	log10.penalty	1.2	log10.penalty	1.05	1	324
1.2125	1.2375	1.225 1.05	log10.penalty	1.225	log10.penalty	1.05	1	364
1.2375	1.2625	1.25 1.05	log10.penalty	1.25	log10.penalty	1.05	1	404
1.2625	1.2875	1.275 1.05	log10.penalty	1.275	log10.penalty	1.05	1	444
1.2875	1.3125	1.3 1.05	log10.penalty	1.3	log10.penalty	1.05	1	484
1.3125	1.3375	1.325 1.05	log10.penalty	1.325	log10.penalty	1.05	1	524
1.3375	1.3625	1.35 1.05	log10.penalty	1.35	log10.penalty	1.05	1	564
1.3625	1.3875	1.375 1.05	log10.penalty	1.375	log10.penalty	1.05	1	604
1.3875	1.4125	1.4 1.05	log10.penalty	1.4	log10.penalty	1.05	1	644
1.4125	1.4375	1.425 1.05	log10.penalty	1.425	log10.penalty	1.05	1	684
1.4375	1.4625	1.45 1.05	log10.penalty	1.45	log10.penalty	1.05	1	724
1.4625	1.4875	1.475 1.05	log10.penalty	1.475	log10.penalty	1.05	1	764
1.4875	1.5125	1.5 1.05	log10.penalty	1.5	log10.penalty	1.05	1	804
1.5125	1.5375	1.525 1.05	log10.penalty	1.525	log10.penalty	1.05	1	844
1.5375	1.5625	1.55 1.05	log10.penalty	1.55	log10.penalty	1.05	1	884
1.5625	1.5875	1.575 1.05	log10.penalty	1.575	log10.penalty	1.05	1	924
1.5875	1.6125	1.6 1.05	log10.penalty	1.6	log10.penalty	1.05	1	964
1.6125	1.6375	1.625 1.05	log10.penalty	1.625	log10.penalty	1.05	1	1004
1.6375	1.6625	1.65 1.05	log10.penalty	1.65	log10.penalty	1.05	1	1044
1.6625	1.6875	1.675 1.05	log10.penalty	1.675	log10.penalty	1.05	1	1084
1.6875	1.7125	1.7 1.05	log10.penalty	1.7	log10.penalty	1.05	1	1124
1.7125	1.7375	1.725 1.05	log10.penalty	1.725	log10.penalty	1.05	1	1164
1.7375	1.7625	1.75 1.05	log10.penalty	1.75	log10.penalty	1.05	1	1204
1.7625	1.7875	1.775 1.05	log10.penalty	1.775	log10.penalty	1.05	1	1244
1.7875	1.8125	1.8 1.05	log10.penalty	1.8	log10.penalty	1.05	1	1284
1.8125	1.8375	1.825 1.05	log10.penalty	1.825	log10.penalty	1.05	1	1324
1.8375	1.8625	1.85 1.05	log10.penalty	1.85	log10.penalty	1.05	1	1364
1.8625	1.8875	1.875 1.05	log10.penalty	1.875	log10.penalty	1.05	1	1404
1.8875	1.9125	1.9 1.05	log10.penalty	1.9	log10.penalty	1.05	1	1444
1.9125	1.9375	1.925 1.05	log10.penalty	1.925	log10.penalty	1.05	1	1484
1.9375	1.9625	1.95 1.05	log10.penalty	1.95	log10.penalty	1.05	1	1524
1.9625	1.9875	1.975 1.05	log10.penalty	1.975	log10.penalty	1.05	1	1564
1.9875	2.0125	2 1.05	log10.penalty	2	log10.penalty	1.05	1	1604
0.9875	1.0125	1 1.075	log10.penalty	1	log10.penalty	1.075	1	4
1.0125	1.0375	1.025 1.075	log10.penalty	1.025	log10.penalty	1.075	1	44
1.0375	1.0625	1.05 1.075	log10.penalty	1.05	log10.penalty	1.075	1	84
1.0625	1.0875	1	log10.penalty	1.075	log10.penalty	1.075	1	1
1.0875	1.1125	1.1 1.075	log10.penalty	1.1	log10.penalty	1.075	1	165
1.1125	1.1375	1.125 1.075	log10.penalty	1.125	log10.penalty	1.075	1	205
1.1375	1.1625	1.15 1.075	log10.penalty	1.15	log10.penalty	1.075	1	245
1.1625	1.1875	1.175 1.075	log10.penalty	1.175	log10.penalty	1.075	1	285
1.1875	1.2125	1.2 1.075	log10.penalty	1.2	log10.penalty	1.075	1	325
1.2125	1.2375	1.225 1.075	log10.penalty	1.225	log10.penalty	1.075	1	365
1.2375	1.2625	1.25 1.075	log10.penalty	1.25	log10.penalty	1.075	1	405
1.2625	1.2875	1.275 1.075	log10.penalty	1.275	log10.penalty	1.075	1	445
1.2875	1.3125	1.3 1.075	log10.penalty	1.3	log10.penalty	1.075	1	485
1.3125	1.3375	1.325 1.075	log10.penalty	1.325	log10.penalty	1.075	1	525
1.3375	1.3625	1.35 1.075	log10.penalty	1.35	log10.penalty	1.075	1	565
1.3625	1.3875	1.375 1.075	log10.penalty	1.375	log10.penalty	1.075	1	605
1.3875	1.4125	1.4 1.075	log10.penalty	1.4	log10.penalty	1.075	1	645
1.4125	1.4375	1.425 1.075	log10.penalty	1.425	log10.penalty	1.075	1	685
1.4375	1.4625	1.45 1.075	log10.penalty	1.45	log10.penalty	1.075	1	725
1.4625	1.4875	1.475 1.075	log10.penalty	1.475	log10.penalty	1.075	1	765
1.4875	1.5125	1.5 1.075	log10.penalty	1.5	log10.penalty	1.075	1	805
1.5125	1.5375	1.525 1.075	log10.penalty	1.525	log10.penalty	1.075	1	845
1.5375	1.5625	1.55 1.075	log10.penalty	1.55	log10.penalty	1.075	1	885
1.5625	1.5875	1.575 1.075	log10.penalty	1.575	log10.penalty	1.075	1	925
1.5875	1.6125	1.6 1.075	log10.penalty	1.6	log10.penalty	1.075	1	965
1.6125	1.6375	1.625 1.075	log10.penalty	1.625	log10.penalty	1.075	1	1005
1.6375	1.6625	1.65 1.075	log10.penalty	1.65	log10.penalty	1.075	1	1045
1.6625	1.6875	1.675 1.075	log10.penalty	1.675	log10.penalty	1.075	1	1085
1.6875	1.7125	1.7 1.075	log10.penalty	1.7	log10.penalty	1.075	1	1125
1.7125	1.7375	1.725 1.075	log10.penalty	1.725	log10.penalty	1.075	1	1165
1.7375	1.7625	1.75 1.075	log10.penalty	1.75	log10.penalty	1.075	1	1205
1.7625	1.7875	1.775 1.075	log10.penalty	1.775	log10.penalty	1.075	1	1245
1.7875	1.8125	1.8 1.075	log10.penalty	1.8	log10.penalty	1.075	1	1285
1.8125	1.8375	1.825 1.075	log10.penalty	1.825	log10.penalty	1.075	1	1325
1.8375	1.8625	1.85 1.075	log10.penalty	1.85	log10.penalty	1.075	1	1365
1.8625	1.8875	1.875 1.075	log10.penalty	1.875	log10.penalty	1.075	1	1405
1.8875	1.9125	1.9 1.075	log10.penalty	1.9	log10.penalty	1.075	1	1445
1.9125	1.9375	1.925 1.075	log10.penalty	1.925	log10.penalty	1.075	1	1485
1.9375	1.9625	1.95 1.075	log10.penalty	1.95	log10.penalty	1.075	1	1525
1.9625	1.9875	1.975 1.075	log10.penalty	1.975	log10.penalty	1.075	1	1565
1.9875	2.0125	2 1.075	log10.penalty	2	log10.penalty	1.075	1	1605
0.9875	1.0125	1 1.1	log10.penalty	1	log10.penalty	1.1	1	5
1.0125	1.0375	1.025 1.1	log10.penalty	1.025	log10.penalty	1.1	1	45
1.0375	1.0625	1.05 1.1	log10.penalty	1.05	log10.penalty	1.1	1	85
1.0625	1.0875	1.075 1.1	log10.penalty	1.075	log10.penalty	1.1	1	125
1.0875	1.1125	1	log10.penalty	1.1	log10.penalty	1.1	1	1
1.1125	1.1375	1.125 1.1	log10.penalty	1.125	log10.penalty	1.1	1	206
1.1375	1.1625	1.15 1.1	log10.penalty	1.15	log10.penalty	1.1	1	246
1.1625	1.1875	1.175 1.1	log10.penalty	1.175	log10.penalty	1.1	1	286
1.1875	1.2125	1.2 1.1	log10.penalty	1.2	log10.penalty	1.1	1	326
1.2125	1.2375	1.225 1.1	log10.penalty	1.225	log10.penalty	1.1	1	366
1.2375	1.2625	1.25 1.1	log10.penalty	1.25	log10.penalty	1.1	1	406
1.2625	1.2875	1.275 1.1	log10.penalty	1.275	log10.penalty	1.1	1	446
1.2875	1.3125	1.3 1.1	log10.penalty	1.3	log10.penalty	1.1	1	486
1.3125	1.3375	1.325 1.1	log10.penalty	1.325	log10.penalty	1.1	1	526
1.3375	1.3625	1.35 1.1	log10.penalty	1.35	log10.penalty	1.1	1	566
1.3625	1.3875	1.375 1.1	log10.penalty	1.375	log10.penalty	1.1	1	606
1.3875	1.4125	1.4 1.1	log10.penalty	1.4	log10.penalty	1.1	1	646
1.4125	1.4375	1.425 1.1	log10.penalty	1.425	log10.penalty	1.1	1	686
1.4375	1.4625	1.45 1.1	log10.penalty	1.45	log10.penalty	1.1	1	726
1.4625	1.4875	1.475 1.1	log10.penalty	1.475	log10.penalty	1.1	1	766
1.4875	1.5125	1.5 1.1	log10.penalty	1.5	log10.penalty	1.1	1	806
1.5125	1.5375	1.525 1.1	log10.penalty	1.525	log10.penalty	1.1	1	846
1.5375	1.5625	1.55 1.1	log10.penalty	1.55	log10.penalty	1.1	1	886
1.5625	1.5875	1.575 1.1	log10.penalty	1.575	log10.penalty	1.1	1	926
1.5875	1.6125	1.6 1.1	log10.penalty	1.6	log10.penalty	1.1	1	966
1.6125	1.6375	1.625 1.1	log10.penalty	1.625	log10.penalty	1.1	1	1006
1.6375	1.6625	1.65 1.1	log10.penalty	1.65	log10.penalty	1.1	1	1046
1.6625	1.6875	1.675 1.1	log10.penalty	1.675	log10.penalty	1.1	1	1086
1.6875	1.7125	1.7 1.1	log10.penalty	1.7	log10.penalty	1.1	1	1126
1.7125	1.7375	1.725 1.1	log10.penalty	1.725	log10.penalty	1.1	1	1166
1.7375	1.7625	1.75 1.1	log10.penalty	1.75	log10.penalty	1.1	1	1206
1.7625	1.7875	1.775 1.1	log10.penalty	1.775	log10.penalty	1.1	1	1246
1.7875	1.8125	1.8 1.1	log10.penalty	1.8	log10.penalty	1.1	1	1286
1.8125	1.8375	1.825 1.1	log10.penalty	1.825	log10.penalty	1.1	1	1326
1.8375	1.8625	1.85 1.1	log10.penalty	1.85	log10.penalty	1.1	1	1366
1.8625	1.8875	1.875 1.1	log10.penalty	1.875	log10.penalty	1.1	1	1406
1.8875	1.9125	1.9 1.1	log10.penalty	1.9	log10.penalty	1.1	1	1446
1.9125	1.9375	1.925 1.1	log10.penalty	1.925	log10.penalty	1.1	1	1486
1.9375	1.9625	1.95 1.1	log10.penalty	1.95	log10.penalty	1.1	1	1526
1.9625	1.9875	1.975 1.1	log10.penalty	1.975	log10.penalty	1.1	1	1566
1.9875	2.0125	2 1.1	log10.penalty	2	log10.penalty	1.1	1	1606
0.9875	1.0125	1 1.125	log10.penalty	1	log10.penalty	1.125	1	6
1.0125	1.0375	1.025 1.125	log10.penalty	1.025	log10.penalty	1.125	1	46
1.0375	1.0625	1.05 1.125	log10.penalty	1.05	log10.penalty	1.125	1	86
1.0625	1.0875	1.075 1.125	log10.penalty	1.075	log10.penalty	1.125	1	126
